timestamp,Rad_avg,Tamb_avg,Tmod_avg,Rad_max,Tamb_max,Tmod_max,Rad_min,Tamb_min,Tmod_min,Rad_std,Tamb_std,Tmod_std,Pa1
2019-07-04 09:30:00+00:00,614.0333333333333,21.2,36.6,618.9,21.5,36.7,611.6,21.0,36.5,4.2146569650842585,0.2645751311064593,0.1000000000000032,19266.233333333334
2019-07-04 09:40:00+00:00,638.2947368421052,21.110526315789475,37.55263157894736,654.3,22.1,38.4,621.3,20.2,36.7,11.062924753136848,0.5054093355798143,0.5357947586453345,19854.36
2019-07-04 09:50:00+00:00,672.9444444444445,22.516666666666666,39.68333333333334,694.6,23.3,41.1,654.3,21.0,38.4,13.424876917925062,0.7686887230480052,0.9017955944212858,20714.515555555558
2019-07-04 10:00:00+00:00,586.8625,21.925,39.5375,739.7,22.8,40.7,474.9,21.0,38.8,106.90559169526306,0.6840008354213778,0.7854707414756344,18612.435
2019-07-04 10:10:00+00:00,659.7916666666667,22.933333333333334,42.18333333333333,792.2,24.1,43.3,383.3,22.1,41.3,154.88920062320992,0.7010814157536567,0.6220688844249478,19019.67333333333
2019-07-04 10:20:00+00:00,772.911111111111,22.805555555555554,42.62777777777778,811.8,23.4,43.0,734.9,22.3,42.2,20.527969123609644,0.2711028071159413,0.16735153404648534,23489.914444444454
2019-07-04 10:30:00+00:00,758.5714285714286,23.114285714285717,43.2,761.7,23.5,44.0,756.8,22.9,42.7,2.2148847116078683,0.20354009783964322,0.544671154612276,22770.575714285715
2019-07-04 10:40:00+00:00,774.5818181818183,23.527272727272727,44.18181818181818,786.1,24.3,44.9,765.4,22.4,43.9,6.510732398404769,0.5081159495448054,0.3092512952864773,23063.11
2019-07-04 10:50:00+00:00,796.05,24.2625,45.425000000000004,805.7,24.8,46.0,789.8,23.5,45.0,5.941620750507153,0.4808846015417849,0.36154430670982235,23410.572500000002
2019-07-04 11:00:00+00:00,812.3272727272728,23.172727272727272,45.099999999999994,820.3,23.4,45.6,804.4,22.8,44.4,5.664113506823639,0.21489955370316158,0.4732863826479677,24003.16909090909
2019-07-04 11:10:00+00:00,830.8066666666668,23.61333333333333,44.53333333333334,837.4,23.9,44.7,824.0,23.2,44.4,4.318972540955031,0.21995670569671794,0.09759000729485447,24621.106666666667
2019-07-04 11:20:00+00:00,843.6181818181817,23.881818181818186,44.52727272727273,849.6,24.4,44.6,837.4,23.3,44.4,3.374557210010884,0.331113822780571,0.09045340337332956,24868.34363636364
2019-07-04 11:30:00+00:00,855.1928571428571,24.57857142857143,45.00714285714286,861.8,25.4,46.0,850.8,23.4,44.2,2.853732855190089,0.7895262176467925,0.7065237605175254,25047.541428571425
2019-07-04 11:40:00+00:00,864.9736842105264,24.573684210526313,46.03157894736842,871.6,25.3,46.5,859.4,23.8,45.9,3.505050658258657,0.37541400148984927,0.13355245153100542,25218.40842105263
2019-07-04 11:50:00+00:00,872.0090909090909,24.61818181818182,46.372727272727275,881.3,25.4,46.7,867.9,24.2,46.0,4.272576399657388,0.35445220218861995,0.16787441193290492,25309.453636363636
2019-07-04 12:00:00+00:00,884.8789473684211,24.952631578947365,46.60526315789474,891.1,25.7,47.2,876.5,24.4,46.3,3.374673473483259,0.3517707919348619,0.28180703447281547,25742.544736842105
2019-07-04 12:10:00+00:00,888.4499999999999,24.98125,47.3,896.0,26.7,47.8,882.6,23.7,47.0,4.460044842823909,0.8588509765960554,0.19663841605003435,25682.914375
2019-07-04 12:20:00+00:00,891.3,25.444999999999997,47.934999999999995,896.0,26.3,48.4,886.2,24.3,47.2,2.5478577172535544,0.45477004021118933,0.2978431236671207,25745.4505
2019-07-04 12:30:00+00:00,891.8124999999999,25.01875,46.849999999999994,894.8,25.7,47.2,887.5,24.1,46.5,2.045116133621749,0.47218463902729113,0.15055453054181442,25822.149374999997
2019-07-04 12:40:00+00:00,894.9100000000001,25.385,47.0,899.7,26.3,47.4,891.1,24.7,46.7,2.3010066446986883,0.449883025732362,0.17167901505579203,25702.66150000001
2019-07-04 12:50:00+00:00,895.93,26.329999999999995,47.53,899.7,27.7,48.2,891.1,25.4,46.9,2.3888116402579835,0.6358583092747041,0.3974921382870387,25734.878999999997
2019-07-04 13:00:00+00:00,893.9857142857143,25.449999999999996,47.442857142857136,897.2,26.0,47.9,888.7,24.9,47.0,2.851951327359297,0.365323881592126,0.31553199451155284,25616.34285714286
2019-07-04 13:10:00+00:00,891.9882352941178,25.7,47.04117647058824,897.2,26.7,47.4,888.7,24.4,46.5,2.395016271589053,0.7348469228349548,0.276267134150561,25516.682352941174
